ImageId,EncodedPixels
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,1566 4 1793 2 1822 5 1831 4 2049 3 2077 16 2305 4 2333 16 2561 5 2589 18 2817 6 2835 5 2846 18 3073 7 3089 9 3102 20 3329 7 3343 12 3358 22 3585 7 3597 14 3614 23 3841 8 3851 17 3870 24 4097 54 4353 54 4609 54 4865 54 5121 54 5377 54 5633 54 5889 54 6145 51 6401 4 6409 43 6657 3 6666 41 6922 41 7179 39 7436 37 7692 17 7713 11 7949 14 8206 12 8471 1
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,11265 5 11521 6 11777 6 12033 6 12289 6 12545 7 12801 8 13057 9 13313 10 13569 10 13825 11 14081 11 14337 11 14593 11 14849 12 15105 12 15361 12 15617 12 15873 12 16129 12 16385 12 16641 12 16897 12 17153 11 17409 11 17665 10 17921 10 18177 10 18433 10 18689 10 18945 10 19201 9 19457 8 19713 7 19969 4
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,32769 4 33025 5 33281 6 33537 6 33793 7 34049 7 34305 7 34561 8 34817 8 35073 8 35329 9 35585 9 35841 9 36097 9 36353 8 36609 8 36865 8 37121 7 37377 7 37633 6 37889 6 38145 5 38401 4 38657 3
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,43009 4 43265 7 43521 8 43777 9 44033 10 44289 11 44545 11 44801 11 45057 11 45314 9
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,49921 6 50177 7 50433 8 50689 8 50945 7 51201 6 51457 4 51713 2 51969 2 52225 2 52481 2 52737 3 52993 3 53249 4 53505 4 53761 4 54017 5 54273 5 54529 5 54785 5 55041 5 55297 5 55553 5 55809 5 56065 5 56321 5 56577 4 56833 4 57089 4 57345 3 57601 3 57857 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,58881 3 59137 4 59393 5 59649 5 59905 5 60161 4 60417 4 60673 4 60929 4 61185 4 61441 5 61697 5 61953 5 62209 5 62465 5 62721 5 62977 5 63233 5 63489 4 63745 4 64001 4 64257 4 64513 3 64769 3 65025 3 65281 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,51724 4 51978 7 52233 9 52488 10 52744 11 52999 12 53255 12 53511 12 53767 11 54024 10 54280 9 54537 8 54794 7 55051 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,15630 2 15886 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,36392 12 36647 14 36902 16 37157 18 37413 14 37428 4 37669 13 37684 5 37923 15 37941 4 38174 2 38179 15 38197 4 38429 21 38454 2 38683 23 38934 27 39189 28 39444 29 39699 29 39954 30 40209 30 40464 31 40719 31 40975 30 41231 29 41487 28 41743 26 41999 25 42255 24 42511 24 42767 24 43023 23 43280 22 43537 20 43793 19 44050 16 44307 14 44564 12 44821 9 45080 5 45337 4
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,51477 2 51733 3
