ImageId,EncodedPixels
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,57097 4 57347 12 57602 13 57857 14 58113 15 58369 16 58625 16 58881 16 59137 16 59393 16 59649 15 59905 14 60161 13 60417 9 60673 8 60930 6 61187 4
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,33293 10 33549 10 33805 11 34061 12 34317 11 34573 11 34829 10 35086 9
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,25655 6 25910 8 26165 10 26421 10 26677 11 26933 12 27189 12 27445 12 27701 12 27957 11 28215 8 28471 8
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,28782 5 29037 7 29291 12 29546 14 29801 16 30057 17 30314 17 30570 17 30827 16 31083 16 31339 16 31596 14 31855 10 32112 8
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,62062 11 62317 13 62572 15 62827 17 63083 17 63338 18 63595 17 63851 17 64107 16 64364 14 64623 7
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,18043 7 18298 10 18552 15 18807 16 19063 18 19318 19 19575 18 19831 18 20088 17 20345 16 20601 16 20858 14 21115 11 21372 8
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,51835 8 52090 10 52344 13 52599 14 52855 15 53110 16 53366 16 53622 15 53878 15 54135 14 54392 11 54649 9
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,42115 9 42370 11 42624 17 42879 20 43135 22 43391 22 43647 23 43903 24 44159 24 44415 24 44671 24 44928 23 45185 20 45442 19 45701 11 45958 9
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,4267 5 4522 8 4775 13 5031 14 5286 17 5541 18 5797 19 6053 20 6309 21 6565 22 6821 22 7078 21 7335 20 7591 20 7848 19 8105 18 8362 17 8619 16 8877 15 9134 13 9398 4
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,5058 3 5314 5 5570 6 5826 7 6082 7 6339 6 6595 6 6851 6 7107 5 7363 5 7620 3
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,64213 1 64467 6 64721 12 64977 12 65232 14 65489 12
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,209450 2 209937 3 209958 12 210449 3 210469 15 210960 5 210981 15 211471 6 211493 16 211971 2 211980 10 212004 19 212482 21 212516 20 212993 23 213028 21 213505 23 213539 22 214017 23 214051 23 214530 23 214563 24 215042 23 215074 26 215554 24 215586 26 216066 24 216098 27 216578 24 216610 27 217090 25 217122 28 217602 26 217633 29 218114 26 218145 29 218626 27 218657 30 219138 27 219169 30 219650 27 219681 30 220162 16 220180 9 220193 30 220674 15 220693 9 220705 30 221186 15 221205 9 221217 31 221698 15 221717 9 221729 31 222210 16 222228 44 222722 62 223234 62 223746 62 224258 62 224770 62 225282 62 225794 62 226306 62 226817 63 227329 63 227841 63 228353 63 228865 63 229377 63 229889 63 230401 63 230913 63 231425 62 231937 62 232449 61 232961 61 233473 61 233985 60 234497 60 235009 60 235521 28 235555 25 236033 25 236068 23 236545 23 236581 21 237057 21 237095 19 237569 20 237607 18 238081 19 238120 16 238594 17 238633 14 239106 13 239146 12 239618 8 239659 10 240131 5 240172 8 240685 6 241199 1
